match_id,startTime,equipo_local,equipo_visitante,ranking_local,ranking_visitante,goles_local,goles_visitante,Local_Top_Stats_Posesión,Visitante_Top_Stats_Posesión,Local_Top_Stats_Goles esperados,Visitante_Top_Stats_Goles esperados,Local_Top_Stats_Total Remates,Visitante_Top_Stats_Total Remates,Local_Top_Stats_Remates a puerta,Visitante_Top_Stats_Remates a puerta,Local_Top_Stats_Grandes chances,Visitante_Top_Stats_Grandes chances,Local_Top_Stats_Fueras de Juego,Visitante_Top_Stats_Fueras de Juego,Local_Top_Stats_Pases completados,Visitante_Top_Stats_Pases completados,Local_Top_Stats_Tarjeta roja,Visitante_Top_Stats_Tarjeta roja,Local_Remates_Goles esperados,Visitante_Remates_Goles esperados,Local_Remates_Total Remates,Visitante_Remates_Total Remates,Local_Remates_Remates a Puerta,Visitante_Remates_Remates a Puerta,Local_Remates_Remates Fuera,Visitante_Remates_Remates Fuera,Local_Remates_Remates bloqueados,Visitante_Remates_Remates bloqueados,Local_Remates_Pelotas al poste,Visitante_Remates_Pelotas al poste,Local_Remates_Goles esperados de remates al arco,Visitante_Remates_Goles esperados de remates al arco,Local_Remates_Remates dentro del área,Visitante_Remates_Remates dentro del área,Local_Remates_Remates fuera del área,Visitante_Remates_Remates fuera del área,Local_Remates_Remates de cabeza,Visitante_Remates_Remates de cabeza,Local_Remates_Grandes chances perdidas,Visitante_Remates_Grandes chances perdidas,Local_Pases_Pases completados,Visitante_Pases_Pases completados,Local_Pases_Asistencias esperadas,Visitante_Pases_Asistencias esperadas,Local_Pases_Centros,Visitante_Pases_Centros,Local_Pases_Pases largos completados,Visitante_Pases_Pases largos completados,Local_Pases_Pases claves,Visitante_Pases_Pases claves,Local_Pases_Pases en el último tercio,Visitante_Pases_Pases en el último tercio,Local_Pases_Pases hacia atrás,Visitante_Pases_Pases hacia atrás,Local_Defensivas_Intercepciones,Visitante_Defensivas_Intercepciones,Local_Defensivas_Salvadas de portero,Visitante_Defensivas_Salvadas de portero,Local_Defensivas_Barridas ganadas,Visitante_Defensivas_Barridas ganadas,Local_Defensivas_Despejes,Visitante_Defensivas_Despejes,Local_Duelos_Duelos ganados,Visitante_Duelos_Duelos ganados,Local_Duelos_Duelos aéreos (ganados),Visitante_Duelos_Duelos aéreos (ganados),Local_Duelos_Duelos en el suelo (ganados),Visitante_Duelos_Duelos en el suelo (ganados),Local_Duelos_Faltas recibidas,Visitante_Duelos_Faltas recibidas,Local_Duelos_Regates,Visitante_Duelos_Regates,Local_Duelos_Regateado,Visitante_Duelos_Regateado,Local_Duelos_Posesiones ganadas en el último tercio,Visitante_Duelos_Posesiones ganadas en el último tercio,Local_Duelos_Posesiones perdidas,Visitante_Duelos_Posesiones perdidas,Local_Disciplinarias_Tarjeta roja,Visitante_Disciplinarias_Tarjeta roja,Local_Disciplinarias_Faltas,Visitante_Disciplinarias_Faltas,Local_Disciplinarias_Tarjeta amarilla,Visitante_Disciplinarias_Tarjeta amarilla
4314058,2025-06-09T13:45:00-05:00,Bélgica,Gales,9,37,4,3,46,54,"2,89","2,32",18,12,4,8,4,4,1,0,351,424,0,0,"2,89","2,32",18,12,4,8,6,1,8,3,0,0,"2,3","2,65",14,11,4,1,0,5,2,3,351,424,"1,04","1,24",3,8,15,24,12,9,36,48,79,83,3,7,5,0,0,11,15,21,16,28,10,10,6,18,8,12,10,2,2,10,1,5,99,86,0,0,13,9,3,3
4402281,2025-06-09T13:45:00-05:00,Croacia,Republica Checa,11,39,5,1,61,39,"3,6","1,31",18,14,11,5,4,1,3,1,466,246,0,0,"3,6","1,31",18,14,11,5,2,3,5,6,0,1,"4,470000000000001","1,4400000000000002",12,11,6,3,2,5,2,1,466,246,"2,48","0,71",2,3,29,16,13,11,62,46,95,60,15,5,3,4,2,6,21,21,26,20,11,10,15,10,9,3,10,8,8,10,4,3,106,118,0,0,3,11,0,2
4314057,2025-06-09T13:45:00-05:00,Estonia,Noruega,128,31,0,1,38,62,"0,23","2,78",7,19,2,3,0,1,0,0,293,512,0,0,"0,23","2,78",7,19,2,3,2,10,3,6,2,2,"0,19","1,17",4,14,4,5,2,4,0,1,293,512,"0,16","1,62",2,7,26,22,6,15,42,55,61,94,16,10,2,2,8,9,22,10,15,13,6,10,9,3,9,7,9,14,14,9,6,5,114,109,0,0,7,9,1,1
4160267,2025-06-10T05:35:00-05:00,Japón,Indonesia,18,119,6,0,71,29,"3,99",0,22,0,11,0,6,0,0,3,582,202,0,0,"3,99",0,22,0,11,0,8,0,3,0,0,0,"5,03",0,20,0,2,0,5,0,5,0,582,202,"2,27",0,9,0,14,7,16,0,74,31,94,46,3,7,0,5,15,10,8,39,14,11,9,3,5,8,6,6,11,2,2,11,2,3,114,101,0,0,6,6,0,0
4160264,2025-06-10T06:00:00-05:00,Corea del Sur,Kuwait,25,133,4,0,74,26,"2,59","0,41",25,6,8,0,3,0,1,4,619,198,0,0,"2,59","0,41",25,6,8,0,9,5,8,1,3,0,"2,7800000000000002",0,17,4,8,2,8,1,2,0,619,198,"2,71","0,15000000000000002",12,1,33,13,20,5,113,22,108,40,7,10,0,4,15,8,9,36,20,19,11,10,9,9,5,13,6,1,1,6,9,0,107,95,0,0,13,5,1,2
4159912,2025-06-10T08:45:00-05:00,Uzbekistán,Qatar,50,57,3,0,61,39,"2,3","0,32",18,1,8,0,7,0,3,1,446,278,0,0,"2,3","0,32",18,1,8,0,6,1,4,0,0,0,"2,4699999999999998",0,15,1,4,0,5,0,5,0,446,278,"1,6100000000000003","0,36",5,1,21,23,14,1,45,15,83,43,8,8,0,4,10,11,4,29,21,23,8,11,13,12,11,11,8,1,1,8,4,1,116,90,0,0,11,12,2,5
4362258,2025-06-10T11:00:00-05:00,Azerbaiyán,Hungría,126,41,1,2,37,63,"1,18","2,3",8,25,4,8,0,2,1,1,221,450,0,0,"1,18","2,3",8,25,4,8,2,13,2,4,0,0,"1,03","2,58",6,14,2,11,2,6,0,2,221,450,"1,01","1,81",4,13,16,36,5,20,42,73,60,97,9,6,6,3,6,9,23,24,15,17,8,9,7,8,7,15,4,5,5,4,1,11,120,111,0,0,15,7,5,1
4160265,2025-06-10T11:00:00-05:00,Irán,Corea del Norte,20,120,3,0,69,31,"4,37","0,34",25,8,8,1,4,0,1,0,437,144,0,1,"4,37","0,34",25,8,8,1,12,4,5,3,0,0,"2,95","0,11",17,1,8,7,7,0,3,0,437,144,"2,7499999999999996","0,4100000000000001",9,0,19,20,20,3,60,47,64,37,6,11,1,6,11,3,24,39,30,28,17,15,13,13,14,8,4,4,4,4,5,1,123,133,0,1,8,14,1,1
4409492,2025-06-10T12:00:00-05:00,Suecia,Argelia,38,28,4,3,42,58,"2,19","3,75",12,17,9,6,0,2,3,3,293,435,0,0,"2,19","3,75",12,17,9,6,2,10,1,1,0,0,"3,29","4,039999999999999",8,13,4,4,1,3,1,1,293,435,"0,8000000000000002","2,23",4,5,16,29,7,12,34,43,64,88,6,12,3,5,9,9,17,20,15,13,4,2,11,11,14,20,3,7,7,3,3,4,111,100,0,0,21,14,2,4
4381317,2025-06-10T12:00:00-05:00,Bielorrusia,Rusia,96,35,1,4,40,60,"0,48","2,86",6,11,4,7,1,4,4,0,329,543,0,0,"0,48","2,86",6,11,4,7,1,1,1,3,1,0,"1,01","2,49",2,7,4,4,0,1,0,1,329,543,"1,08","1,11",0,2,29,33,5,9,43,59,51,114,12,16,3,3,7,13,14,16,5,0,2,0,3,0,8,15,10,3,3,10,3,3,127,116,0,0,16,8,1,0
